Name,Date,Price
HEAR,5/26/2015,7.2
HEAR,5/27/2015,7.2
HEAR,5/28/2015,7.08
HEAR,5/29/2015,7.24
HEAR,6/1/2015,7.28
HEAR,6/2/2015,7.04
HEAR,6/3/2015,7.24
HEAR,6/4/2015,7.4
HEAR,6/5/2015,8
HEAR,6/8/2015,8.52
HEAR,6/9/2015,8.32
HEAR,6/10/2015,8
HEAR,6/11/2015,7.84
HEAR,6/12/2015,7.88
HEAR,6/15/2015,7.76
HEAR,6/16/2015,7.68
HEAR,6/17/2015,7.74
HEAR,6/18/2015,7.8
HEAR,6/19/2015,7.56
HEAR,6/22/2015,7.76
HEAR,6/23/2015,8.32
HEAR,6/24/2015,11.2
HEAR,6/25/2015,10.84
HEAR,6/26/2015,9.88
HEAR,6/29/2015,9.04
HEAR,6/30/2015,9.12
HEAR,7/1/2015,8.88
HEAR,7/2/2015,8.92
HEAR,7/6/2015,8.52
HEAR,7/7/2015,8.32
HEAR,7/8/2015,8.12
HEAR,7/9/2015,8.2
HEAR,7/10/2015,8.18
HEAR,7/13/2015,9.44
HEAR,7/14/2015,8.8
HEAR,7/15/2015,8.8
HEAR,7/16/2015,8.76
HEAR,7/17/2015,8.92
HEAR,7/20/2015,8.36
HEAR,7/21/2015,8.48
HEAR,7/22/2015,8.4
HEAR,7/23/2015,9.12
HEAR,7/24/2015,8.4
HEAR,7/27/2015,8.4
HEAR,7/28/2015,8.76
HEAR,7/29/2015,8.64
HEAR,7/30/2015,8.76
HEAR,7/31/2015,8.68
HEAR,8/3/2015,8.48
HEAR,8/4/2015,8.36
HEAR,8/5/2015,8.56
HEAR,8/6/2015,9.08
HEAR,8/7/2015,8.6
HEAR,8/10/2015,8.44
HEAR,8/11/2015,8.92
HEAR,8/12/2015,8.8
HEAR,8/13/2015,8.84
HEAR,8/14/2015,9
HEAR,8/17/2015,8.72
HEAR,8/18/2015,8.84
HEAR,8/19/2015,8.612
HEAR,8/20/2015,8.88
HEAR,8/21/2015,9
HEAR,8/24/2015,8.6
HEAR,8/25/2015,8.84
HEAR,8/26/2015,9.56
HEAR,8/27/2015,9.28
HEAR,8/28/2015,8.68
HEAR,8/31/2015,9.28
HEAR,9/1/2015,8.92
HEAR,9/2/2015,8.72
HEAR,9/3/2015,8.84
