Name,Date,Price
USB-PA,6/10/2015,826.622009
USB-PA,6/11/2015,837.23999
USB-PA,6/12/2015,null
USB-PA,6/15/2015,null
USB-PA,6/16/2015,null
USB-PA,6/17/2015,null
USB-PA,6/18/2015,null
USB-PA,6/19/2015,null
USB-PA,6/22/2015,null
USB-PA,6/23/2015,null
USB-PA,6/24/2015,null
USB-PA,6/25/2015,null
USB-PA,6/26/2015,null
USB-PA,6/29/2015,null
USB-PA,6/30/2015,null
USB-PA,7/1/2015,null
USB-PA,7/2/2015,null
USB-PA,7/6/2015,null
USB-PA,7/7/2015,null
USB-PA,7/8/2015,null
USB-PA,7/9/2015,null
USB-PA,7/10/2015,null
USB-PA,7/13/2015,null
USB-PA,7/14/2015,null
USB-PA,7/15/2015,null
USB-PA,7/16/2015,null
USB-PA,7/17/2015,null
USB-PA,7/20/2015,823
USB-PA,7/21/2015,null
USB-PA,7/22/2015,null
USB-PA,7/23/2015,null
USB-PA,7/24/2015,null
USB-PA,7/27/2015,null
USB-PA,7/28/2015,null
USB-PA,7/29/2015,null
USB-PA,7/30/2015,null
USB-PA,7/31/2015,null
USB-PA,8/3/2015,null
USB-PA,8/4/2015,null
USB-PA,8/5/2015,827
USB-PA,8/6/2015,null
USB-PA,8/7/2015,null
USB-PA,8/10/2015,null
USB-PA,8/11/2015,null
USB-PA,8/12/2015,null
USB-PA,8/13/2015,null
USB-PA,8/14/2015,null
USB-PA,8/17/2015,null
USB-PA,8/18/2015,null
USB-PA,8/19/2015,null
USB-PA,8/20/2015,null
USB-PA,8/21/2015,809.997009
USB-PA,8/24/2015,null
USB-PA,8/25/2015,null
USB-PA,8/26/2015,798
USB-PA,8/27/2015,null
USB-PA,8/28/2015,null
USB-PA,8/31/2015,null
USB-PA,9/1/2015,null
USB-PA,9/2/2015,null
USB-PA,9/3/2015,null
USB-PA,9/4/2015,null
USB-PA,9/8/2015,null
USB-PA,9/9/2015,null
USB-PA,9/10/2015,null
USB-PA,9/11/2015,null
USB-PA,9/14/2015,null
USB-PA,9/15/2015,null
USB-PA,9/16/2015,null
USB-PA,9/17/2015,null
USB-PA,9/18/2015,null
USB-PA,9/21/2015,null
USB-PA,9/22/2015,null
USB-PA,9/23/2015,800
USB-PA,9/24/2015,null
USB-PA,9/25/2015,null
USB-PA,9/28/2015,null
USB-PA,9/29/2015,null
USB-PA,9/30/2015,null
USB-PA,10/1/2015,null
USB-PA,10/2/2015,null
USB-PA,10/5/2015,null
USB-PA,10/6/2015,null
USB-PA,10/7/2015,null
USB-PA,10/8/2015,null
USB-PA,10/9/2015,null
USB-PA,10/12/2015,null
USB-PA,10/13/2015,782
USB-PA,10/14/2015,null
USB-PA,10/15/2015,null
USB-PA,10/16/2015,null
USB-PA,10/19/2015,null
USB-PA,10/20/2015,790
USB-PA,10/21/2015,null
USB-PA,10/22/2015,777.099976
USB-PA,10/23/2015,null
USB-PA,10/26/2015,778
USB-PA,10/27/2015,null
USB-PA,10/28/2015,null
USB-PA,10/29/2015,null
USB-PA,10/30/2015,null
USB-PA,11/2/2015,790
USB-PA,11/3/2015,null
USB-PA,11/4/2015,null
USB-PA,11/5/2015,null
USB-PA,11/6/2015,785
USB-PA,11/9/2015,null
USB-PA,11/10/2015,null
USB-PA,11/11/2015,null
USB-PA,11/12/2015,null
USB-PA,11/13/2015,null
USB-PA,11/16/2015,795
USB-PA,11/17/2015,null
USB-PA,11/18/2015,789.599976
USB-PA,11/19/2015,800
USB-PA,11/20/2015,795
USB-PA,11/23/2015,796
USB-PA,11/24/2015,795
USB-PA,11/25/2015,null
USB-PA,11/27/2015,null
USB-PA,11/30/2015,803
USB-PA,12/1/2015,null
USB-PA,12/2/2015,null
USB-PA,12/3/2015,null
USB-PA,12/4/2015,790
USB-PA,12/7/2015,null
USB-PA,12/8/2015,795.099976
USB-PA,12/9/2015,null
USB-PA,12/10/2015,null
USB-PA,12/11/2015,794.25
USB-PA,12/14/2015,785
USB-PA,12/15/2015,null
USB-PA,12/16/2015,785
USB-PA,12/17/2015,null
USB-PA,12/18/2015,null
USB-PA,12/21/2015,null
USB-PA,12/22/2015,null
USB-PA,12/23/2015,798.77002
USB-PA,12/24/2015,794.02002
USB-PA,12/28/2015,null
USB-PA,12/29/2015,null
USB-PA,12/30/2015,null
USB-PA,12/31/2015,null
USB-PA,1/4/2016,null
USB-PA,1/5/2016,null
USB-PA,1/6/2016,null
USB-PA,1/7/2016,null
USB-PA,1/8/2016,796.97998
USB-PA,1/11/2016,796.48999
USB-PA,1/12/2016,796.98999
USB-PA,1/13/2016,null
USB-PA,1/14/2016,null
USB-PA,1/15/2016,795
USB-PA,1/19/2016,null
USB-PA,1/20/2016,null
USB-PA,1/21/2016,790
USB-PA,1/22/2016,null
USB-PA,1/25/2016,null
USB-PA,1/26/2016,792
USB-PA,1/27/2016,null
USB-PA,1/28/2016,795
USB-PA,1/29/2016,799.98999
USB-PA,2/1/2016,789
USB-PA,2/2/2016,790
USB-PA,2/3/2016,781.75
USB-PA,2/4/2016,782
USB-PA,2/5/2016,774.5
USB-PA,2/8/2016,null
USB-PA,2/9/2016,758
USB-PA,2/10/2016,null
USB-PA,2/11/2016,733
USB-PA,2/12/2016,null
USB-PA,2/16/2016,null
USB-PA,2/17/2016,null
USB-PA,2/18/2016,759.994995
USB-PA,2/19/2016,757.940002
USB-PA,2/22/2016,758.01001
USB-PA,2/23/2016,758
USB-PA,2/24/2016,751.25
USB-PA,2/25/2016,752
USB-PA,2/26/2016,750
USB-PA,2/29/2016,755
USB-PA,3/1/2016,770
USB-PA,3/2/2016,null
USB-PA,3/3/2016,770
USB-PA,3/4/2016,null
USB-PA,3/7/2016,null
USB-PA,3/8/2016,null
USB-PA,3/9/2016,775
USB-PA,3/10/2016,null
USB-PA,3/11/2016,null
USB-PA,3/14/2016,null
USB-PA,3/15/2016,null
USB-PA,3/16/2016,779
USB-PA,3/17/2016,null
USB-PA,3/18/2016,789.900024
USB-PA,3/21/2016,null
USB-PA,3/22/2016,null
USB-PA,3/23/2016,null
USB-PA,3/24/2016,788
USB-PA,3/28/2016,791
USB-PA,3/29/2016,789
USB-PA,3/30/2016,794
USB-PA,3/31/2016,797.5
USB-PA,4/1/2016,null
USB-PA,4/4/2016,null
USB-PA,4/5/2016,794
USB-PA,4/6/2016,null
USB-PA,4/7/2016,797
USB-PA,4/8/2016,null
USB-PA,4/11/2016,797.400024
USB-PA,4/12/2016,null
USB-PA,4/13/2016,802.390015
USB-PA,4/14/2016,null
USB-PA,4/15/2016,802
USB-PA,4/18/2016,null
USB-PA,4/19/2016,804.799988
USB-PA,4/20/2016,null
USB-PA,4/21/2016,809
USB-PA,4/22/2016,null
USB-PA,4/25/2016,null
USB-PA,4/26/2016,null
USB-PA,4/27/2016,807.5
USB-PA,4/28/2016,811
USB-PA,4/29/2016,null
USB-PA,5/2/2016,null
USB-PA,5/3/2016,null
USB-PA,5/4/2016,812.5
USB-PA,5/5/2016,null
USB-PA,5/6/2016,null
USB-PA,5/9/2016,809.25
